note,type,num,fing
A,maj,1,x02224
A,maj,2,x02120
A,maj,3,576655
A,maj,4,542224
A,maj,5,xx7654
A,maj,6,xx7999
A,maj7,1,x02224
A,maj7,2,x02120
A,maj7,3,576655
A,maj7,4,542224
A,maj7,5,xx7654
A,maj7,6,xx7999
A,7,1,575655
A,7,2,x02223
A,7,3,x02020
A,7,4,542223
A,7,5,xx7989
A,6,1,x02222
A,6,2,x04220
A,6,3,542222
A,6,4,xx7979
A,6,5,54465x
A,maj9,1,x02424
A,maj9,2,546454
A,maj9,3,522224
A,maj9,4,522424
A,9,1,x02423
A,9,2,575657
A,9,3,522223
A,9,4,522423
A,9,5,525223
A,13,1,555675
A,13,2,x00022
A,13,3,x04020
A,13,4,525222
A,13,5,x04423
A,13,6,x04023
A,13,7,555222
A,13,8,524223
A,maj13,1,544454
A,maj13,2,x04120
A,maj13,3,x00122
A,maj13,4,556675
A,maj13,5,x04424
A,maj13,6,x02122
A,maj13,7,524224
A,maj13,8,544774
A,aug,1,x03221
A,aug,2,xx7665
A,7#5,1,x03023
A,7#5,2,5x5665
A,7#5,3,585685
A,7#5,4,x0x021
A,maj7#5,1,x03121
A,maj7#5,2,x03224
A,maj7#5,3,xx7664
A,aug,61,x03222
A,aug,62,x04221
A,aug,63,543222
A,aug,64,54466x
A,6/9,1,x02422
A,6/9,2,x04420
A,6/9,3,544455
A,6/9,4,522222
A,6/9,5,522422
A,6/9,6,524222
A,11,1,555655
A,11,2,x00020
A,11,3,x00423
A,11,4,x00223
A,11,5,552223
A,11,6,555687
A,11,7,xx7789
A,11,8,557685
A,6/11,1,x00420
A,6/11,2,557655
A,6/11,3,552222
A,6/11,4,552422
A,6/11,5,542232
A,6/9b5,1,x02422
A,6/9b5,2,x04420
A,6/9b5,3,544455
A,6/9b5,4,522222
A,6/9b5,5,522422
A,6/9b5,6,542422
A,9b5,1,545445
A,9b5,2,x01423
A,maj9b5,1,546444
A,maj9b5,2,x01424
A,maj9b5,3,54x445
A,maj9b5,4,547445
A,13b5,1,x01022
A,13b5,2,565675
A,6/11b5,1,557755
A,6/11b5,2,x00200
A,6/11b5,3,x02232
A,6/11b5,4,x00420
A,6/11b5,5,x00440
A,6/11b5,6,557657
A,6/11b5,7,522232
A,6/11b5,8,552222
A,6/11b5,9,xxx230
A,6/11b5,10,557755
A,6/11b5,11,x00200
A,6/11b5,12,x02232
A,6/11b5,13,x00420
A,6/11b5,14,x00440
A,6/11b5,15,557657
A,6/11b5,16,522232
A,6/11b5,17,552222
A,6/11b5,18,xxx230
A,9/11,1,555655
A,9/11,2,x00020
A,9/11,3,x00423
A,9/11,4,x00223
A,9/11,5,552223
A,9/11,6,555687
A,9/11,7,xx7789
A,9/11,8,557685
A,9/13,1,555675
A,9/13,2,x00022
A,9/13,3,x04020
A,9/13,4,525222
A,9/13,5,x04423
A,9/13,6,x04023
A,9/13,7,555222
A,9/13,8,524223
A,9/13b5,1,x01022
A,9/13b5,2,565675
A,9/13#5,1,x03022
A,9/13#5,2,x04021
A,11/13,1,555675
A,11/13,2,x00022
A,11/13,3,x04020
A,11/13,4,525222
A,11/13,5,x04423
A,11/13,6,x04023
A,11/13,7,555222
A,11/13,8,524223
A,6b5,1,542242
A,7b5,1,x01023
A,7b5,2,565685
A,7b5,3,54564x
A,7b5,4,xx7889
A,maj7b5,1,546644
A,maj7b5,2,x01224
A,maj7b5,3,xx7899
A,maj7b5,4,x0112x
A,(b5),1,xx7645
A,(b5),2,x0122x
A,aug/69,1,x03422
A,aug/69,2,544465
A,aug/69,3,x04201
A,aug/69,4,x03202
A,aug/69,5,x04401
A,aug/69,6,523222
A,aug/69,7,523422
A,9#5,1,x03423
A,9#5,2,523223
A,9#5,3,54546x
A,m,1,577555
A,m,2,x02210
A,m7,1,575555
A,m7,2,x02010
A,m7,3,x02213
A,m7,4,575588
A,m7,5,577585
A,m7,6,xx7988
A,m6,1,x04210
A,m6,2,577575
A,m6,3,x02212
A,m6,4,xx7978
A,m6,5,532252
A,m9,1,575557
A,m9,2,x02413
A,dim,1,5675x5
A,dim,2,xx7545
A,dim,3,x0121x
A,dim7,1,x01212
A,dim7,2,567575
A,dim7,3,xx7878
A,dim7,4,56454x
A,m6#5,1,x03212
A,m6#5,2,x04211
A,m6#5,3,587575
A,m7#5,1,x03011
A,m7#5,2,585565
A,m7#5,3,x03213
A,m7#5,4,533563
A,m7#5,5,5x7565
A,m7#5,6,585588
A,m11,1,555555
A,m11,2,x00010
A,m11,3,x00413
A,m11,4,535433
A,m11,5,x00213
A,m11,6,555758
A,m11,7,555587
A,m11,8,xx7788
A,m11#5,1,533433
A,m11#5,2,555567
A,m11#5,3,x03413
A,m11#5,4,585567
A,dim6,1,x01212
A,dim6,2,567575
A,dim6,3,xx7878
A,dim6,4,56454x
A,dim9,1,x01412
A,m13,1,555577
A,m13,2,534433
A,m13,3,x00412
A,m13,4,522532
A,m13#5,1,x04001
A,m13#5,2,x03002
A,m13#5,3,585577
A,m6/9,1,x04410
A,m6/9,2,x02412
A,m6/9,3,522552
A,m6/11,1,x00412
A,m6/11,2,557575
A,m6/11,3,532232
A,m6/11,4,55x577
A,m6/11,5,522532
A,m6/11,6,xx7778
A,m9#5,1,x03413
A,m9#5,2,533463
A,m9#5,3,5x5567
A,m9#5,4,585567
A,m9#5,5,585587
A,m11/13,1,555577
A,m11/13,2,534433
A,m11/13,3,x00412
A,m11/13,4,522532
A,m9/11,1,555555
A,m9/11,2,x00010
A,m9/11,3,x00413
