name, strings, loudness, category
"А-ля Металлика", "6,3,2,61,2,3", "L,U,U,SL,U,U", "default"
"Четверка 1", "6,3,2,1", "L,U,U,U", "default"
"Четверка 2", "6,3,1,2", "L,U,U,U", "default"
"Четверка 3", "6,3,2,3", "L,U,U,U", "default"
"Четверка 4", "6,1,2,3", "L,U,U,U", "default"
"Четверка 5", "6,2,1,3", "L,U,U,U", "default"
"Четверка 6", "6,3,21,3", "L,U,UL,U", "default"
"Четверка обратная", "621,3,21,3", "LUU,U,UL,U", "default"
"Шестерка 1", "6,3,2,1,2,3", "L,U,U,L,U,U", "default"
"Шестерка 2", "6^3,2,1,3,2,1", "LU,U,U,L,U,U", "default"
"Шестерка 3", "6,1,2,5,1,2", "L,U,U,S,U,U", "default"
"Восьмерка 1", "6,3,2,3,1,3,2,3", "L,U,U,U,L,U,U,U", "default"
"Восьмерка 2", "6,3,2,1,2,3,2,3", "L,U,U,U,L,U,U,U", "default"
"Восьмерка 3", "6,3,2,3,1,2,3,2", "L,U,U,U,L,U,U,U", "default"
"Восьмерка 4", "6,3,1,3,5,3,1,2", "L,U,U,U,S,U,U,U", "default"
"Восьмерка 5", "6,4,3,4,5,4,3,4", "L,U,U,U,S,U,U,U", "default"
"Восьмерка с хлопком 1", "X,3,2,1,X,3,2,1", "U,U,U,U,U,U,U,U", "default"
"Восьмерка с паузой 1", "6,3,1,_,6,3,1,_", "L,U,U,0,L,U,U,0", "default"
"Восьмерка с паузой 2", "5,_,21,3,6,_,21,3", "L,0,UU,U,L,0,UU,U", "default"
"Восьмерка длинная", "6,4,3,2,1,2,3,4", "L,U,U,U,L,U,U,U", "default"
"Восьмерка нисходящая", "6,1,2,3,4,1,2,3", "LU,U,U,S,L,U,U", "default"
"Восьмерка без баса", "1,2,3,1,2,3,1,2", "L,U,U,L,U,U,L,U", "default"
"Вальсовый перебор 1", "6,21,21", "L,UU,UU", "default"
"Вальсовый перебор 2", "6,321,321", "L,UUU,UUU", "default"
"Вальсовый перебор 3", "6,3,21", "L,U,UU", "default"
